method_id,method_label,stage,stage_label,status,detail,source_path
streamingtom,StreamingTOM,module_smoke,Module smoke,PASS,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
streamingtom,StreamingTOM,dataset_preflight,Data preflight,NA,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
streamingtom,StreamingTOM,runtime_preflight,Runtime preflight,PASS,pinned CTR/OQM dry-run preflight triplet passed,/home/spco/online_video_state_decomposition/remote_results/official_streaming_kernels/preflight_20260719
streamingtom,StreamingTOM,official_quality,Quality,NA,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
streamingtom,StreamingTOM,official_latency,Latency,PASS,strict CTR/OQM core summary triplet passed,/home/spco/online_video_state_decomposition/remote_results/official_streaming_kernels/streamingtom_core_formal_v1_20260719/queue_status
streamingtom,StreamingTOM,state_accounting,State accounting,PROXY_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
streamingtom,StreamingTOM,independent_replication,Independent replication,OPEN,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,source,Source,UNAVAILABLE,No discoverable public implementation.,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,module_smoke,Module smoke,UNAVAILABLE,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,dataset_preflight,Data preflight,NA,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,runtime_preflight,Runtime preflight,UNAVAILABLE,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,official_quality,Quality,PAPER_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,official_latency,Latency,PAPER_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,state_accounting,State accounting,PROXY_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
selectstream,SelectStream,independent_replication,Independent replication,OPEN,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
oasis,OASIS,source,Source,PASS,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,module_smoke,Module smoke,PASS,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,dataset_preflight,Data preflight,PASS,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,runtime_preflight,Runtime preflight,PASS,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,official_quality,Quality,PASS,strict formal result passed: 209/250 correct,/home/spco/online_video_state_decomposition/remote_results/oasis_streamingbench/oasis_formal_50x5_v1_20260719/queue_status
oasis,OASIS,official_latency,Latency,UNAVAILABLE,No public paper-table request-latency runner.,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,state_accounting,State accounting,PROXY_ONLY,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
oasis,OASIS,independent_replication,Independent replication,OPEN,,paper/results/probe_mvp/oasis_official_smoke_20260719/result.json
statekv,StateKV,source,Source,PLACEHOLDER,Official repository is a README placeholder.,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,module_smoke,Module smoke,UNAVAILABLE,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,dataset_preflight,Data preflight,NA,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,runtime_preflight,Runtime preflight,UNAVAILABLE,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,official_quality,Quality,PAPER_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,official_latency,Latency,PAPER_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,state_accounting,State accounting,PROXY_ONLY,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
statekv,StateKV,independent_replication,Independent replication,OPEN,,paper/results/probe_mvp/STREAMING_BASELINE_REPRODUCTION_AUDIT_20260719.md
